,open,high,low,close,volume,range,range_shift1,target
2021-03-02 08:03:00,60.4,60.7,60.4,60.7,149677.89413428,0.15000000000000213,0.10000000000000142,60.5
2021-03-02 08:04:00,60.6,60.8,60.6,60.8,122470.17739421,0.09999999999999787,0.15000000000000213,60.75
2021-03-02 08:05:00,60.9,61.0,60.9,60.9,78993.52775465,0.05000000000000071,0.09999999999999787,61.0
2021-03-02 08:06:00,60.9,60.9,60.7,60.7,147253.24430326,0.09999999999999787,0.05000000000000071,60.95
2021-03-02 08:07:00,60.6,60.6,60.5,60.5,104554.94183315,0.05000000000000071,0.09999999999999787,60.7
2021-03-02 08:08:00,60.5,60.6,60.5,60.5,57040.11634203,0.05000000000000071,0.05000000000000071,60.55
2021-03-02 08:09:00,60.5,60.9,60.5,60.8,51477.08904322,0.1999999999999993,0.05000000000000071,60.55
2021-03-02 08:10:00,60.8,60.8,60.5,60.6,184329.44818542,0.14999999999999858,0.1999999999999993,61.0
2021-03-02 08:11:00,60.6,60.6,60.5,60.5,49119.55402625,0.05000000000000071,0.14999999999999858,60.75
2021-03-02 08:12:00,60.5,60.7,60.5,60.6,142222.0793338,0.10000000000000142,0.05000000000000071,60.55
2021-03-02 08:13:00,60.6,60.6,60.4,60.4,74459.04601866,0.10000000000000142,0.10000000000000142,60.7
2021-03-02 08:14:00,60.4,60.5,60.4,60.5,50480.20616632,0.05000000000000071,0.10000000000000142,60.5
2021-03-02 08:15:00,60.5,60.5,60.4,60.5,301002.2924863,0.05000000000000071,0.05000000000000071,60.55
2021-03-02 08:16:00,60.5,60.5,60.4,60.5,188545.32564725,0.05000000000000071,0.05000000000000071,60.55
2021-03-02 08:17:00,60.5,60.6,60.4,60.6,79527.22730539,0.10000000000000142,0.05000000000000071,60.55
2021-03-02 08:18:00,60.6,60.6,60.5,60.6,79351.55918996,0.05000000000000071,0.10000000000000142,60.7
2021-03-02 08:19:00,60.6,60.8,60.6,60.8,265227.85511326,0.09999999999999787,0.05000000000000071,60.650000000000006
2021-03-02 08:20:00,60.8,61.0,60.8,61.0,147612.50069653,0.10000000000000142,0.09999999999999787,60.89999999999999
2021-03-02 08:21:00,61.0,61.1,61.0,61.1,198893.02883658,0.05000000000000071,0.10000000000000142,61.1
2021-03-02 08:22:00,61.0,61.1,61.0,61.1,179778.0365768,0.05000000000000071,0.05000000000000071,61.05
2021-03-02 08:23:00,61.0,61.1,61.0,61.1,7843.54063721,0.05000000000000071,0.05000000000000071,61.05
2021-03-02 08:24:00,61.0,61.1,61.0,61.1,63307.38383459,0.05000000000000071,0.05000000000000071,61.05
2021-03-02 08:25:00,61.2,61.2,61.1,61.1,145144.55691269,0.05000000000000071,0.05000000000000071,61.25
2021-03-02 08:26:00,61.1,61.1,61.1,61.1,12043.69486383,0.0,0.05000000000000071,61.150000000000006
2021-03-02 08:27:00,61.2,61.2,61.0,61.0,171768.14284921,0.10000000000000142,0.0,61.2
2021-03-02 08:28:00,61.0,61.0,61.0,61.0,4769.5496514,0.0,0.10000000000000142,61.1
2021-03-02 08:29:00,60.8,61.0,60.8,61.0,39013.94233096,0.10000000000000142,0.0,60.8
2021-03-02 08:30:00,61.0,61.0,60.8,60.8,74220.224747,0.10000000000000142,0.10000000000000142,61.1
2021-03-02 08:31:00,60.9,60.9,60.7,60.9,77490.62356748,0.09999999999999787,0.10000000000000142,61.0
